GeneID	max_transcript
APEX2	8694
APH1A	3810
APH1B	31576
API5	32533
APIP	34083
APLF	112577
APLN	9697
APLP1	11352
APLP2	74911
APMAP	29826
APOBEC3B	10432
APOBEC3C	6095
APOBEC3D	12150
APOBEC3F	15106
APOBEC3G	10738
APOC1	5019
APOC1P1	4583
APOE	3597
APOL2	13745
APOLD1	65548
APOO	74577
APOOL	89438
APOOP5	1050
APP	290578
APPBP2	83091
APPL1	45741
APPL2	62933
APRT	2589
APTR	38605
APTX	52504
AQP1	13823
AQP3	6432
AQP4	13765
AQR	117960
AR	186598
ARAF	10821
ARAP1	67320
ARAP2	238535
ARAP3	28828
ARC	3430
ARCN1	30645
AREL1	51824
ARF1	16552
ARF3	21764
ARF4	25981
ARF4-AS1	3126
ARF5	3289
ARF6	3972
ARFGAP1	17005
ARFGAP2	12827
ARFGAP3	60770
ARFGEF1	146121
ARFGEF2	114982
ARFGEF3	182724
ARFIP1	132403
ARFIP2	6650
ARFRP1	9371
ARG2	31785
ARGLU1	26464
ARHGAP1	23538
ARHGAP10	340688
ARHGAP11A	24798
ARHGAP11B	23624
ARHGAP12	123478
ARHGAP17	95978
ARHGAP18	134043
ARHGAP19	70500
ARHGAP20	136154
ARHGAP21	140273
ARHGAP22	210229
ARHGAP23	83921
ARHGAP24	527516
ARHGAP26	458634
ARHGAP27	36397
ARHGAP27P1	3365
ARHGAP27P1-BPTFP1-KPNA2P3	32337
ARHGAP28	185997
ARHGAP29	78841
ARHGAP30	22945
ARHGAP31	126331
ARHGAP32	227138
ARHGAP33	13258
ARHGAP35	144079
ARHGAP39	156667
ARHGAP4	18886
ARHGAP42	306653
ARHGAP44	202145
ARHGAP45	21872
ARHGAP5	82424
ARHGAP5-AS1	1280
ARHGDIA	3616
ARHGDIG	2419
ARHGEF1	24268
ARHGEF10	134715
ARHGEF10L	158171
ARHGEF11	110902
ARHGEF12	153524
ARHGEF16	26448
ARHGEF17	61112
ARHGEF18	123541
ARHGEF2	32721
ARHGEF25	7129
ARHGEF26	140001
ARHGEF28	315835
ARHGEF3	351848
ARHGEF34P	27011
ARHGEF35	9796
ARHGEF37	53469
ARHGEF39	5852
ARHGEF4	210339
ARHGEF40	19943
ARHGEF5	122132
ARHGEF6	115381
ARHGEF7	191115
ARHGEF9	150247
ARID1A	86089
ARID1B	434753
ARID2	178331
ARID3A	49902
ARID3B	56954
ARID3C	8006
ARID4A	75318
ARID4B	161277
ARID5A	15882
ARID5B	195245
ARIH1	128657
ARIH2	67540
ARL1	14700
ARL10	16422
ARL13B	75539
ARL14EP	15119
ARL15	426631
ARL16	2759
ARL17A	71041
ARL17B	122827
ARL2	8024
ARL2BP	8376
ARL3	40666
ARL4A	4106
ARL4C	4040
ARL4D	2144
ARL5A	29624
ARL5B	22208
ARL6	36721
ARL6IP1	9880
ARL6IP4	2853
ARL6IP5	21155
ARL6IP6	44737
ARL8A	11339
ARL8B	58619
ARMC1	31761
ARMC10	24882
ARMC2	126056
ARMC4	186911
ARMC5	8861
ARMC6	24573
ARMC7	20303
ARMC8	111138
ARMC9	178217
ARMCX1	4145
ARMCX2	4569
ARMCX3	4711
ARMCX4	117710
ARMCX5	4951
ARMCX6	2883
ARMH3	210574
ARMH4	151448
ARMT1	17841
ARNT	66885
ARNT2	193551
ARNTL	110613
ARNTL2	92977
ARPC1A	40389
ARPC1B	20086
ARPC2	37159
ARPC3	15520
ARPC4	14642
ARPC5	14937
ARPC5L	15603
ARPIN	17946
ARPP19	22401
ARRB1	91539
ARRB2	10865
ARRDC1	9720
ARRDC1-AS1	3563
ARRDC2	12978
ARRDC3	14686
ARRDC3-AS1	40368
ARRDC4	13130
ARSA	5398
ARSB	208099
ARSG	170191
ARSI	6562
ARSJ	79363
ARSK	50001
ART5	3810
ARTN	3920
ARV1	21639
ARVCF	46927
ASAH1	28969
ASAH2	63749
ASAH2B	19316
ASAP1	391569
ASAP2	198918
ASAP3	55616
ASB1	25323
ASB13	27728
ASB14	24343
ASB16	8380
ASB16-AS1	10743
ASB3	116973
ASB6	7565
ASB7	49110
ASB8	9726
ASCC1	121102
ASCC2	49663
ASCC3	373134
ASF1A	15018
ASF1B	17077
ASGR1	6133
ASH1L	227535
ASH1L-AS1	1902
ASH2L	34587
ASIC1	26015
ASIC3	4464
ASL	17754
ASMTL	50623
ASMTL-AS1	14890
ASNS	76764
ASNSD1	9432
ASPDH	3081
ASPH	214036
ASPHD1	5568
ASPHD2	15755
ASPM	62567
ASPRV1	2174
ASPSCR1	39777
ASRGL1	55964
ASS1	56567
ASTE1	12981
ASTN1	307599
ASTN2	991945
ASXL1	80988
ASXL2	144734
ASXL3	172975
ATAD1	66719
ATAD2	76596
ATAD2B	178459
ATAD3A	22523
ATAD3B	26083
ATAD3C	20473
ATAD5	63899
ATAT1	19949
ATE1	188380
ATF1	57061
ATF2	95956
ATF3	55443
ATF4	2127
ATF5	5234
ATF6	197750
ATF6B	12982
ATF7	118526
ATF7IP	137303
ATF7IP2	97577
ATG10	284110
ATG101	7521
ATG12	13365
ATG13	58742
ATG14	45439
ATG16L1	44103
ATG16L2	15224
ATG2A	22663
ATG2B	84146
ATG3	29452
ATG4A	63004
ATG4B	36163
ATG4C	81382
ATG4D	9514
ATG5	141343
ATG7	292255
ATG9A	10256
ATG9B	12290
ATIC	37705
ATL1	99984
ATL2	84627
ATL3	47887
ATM	146267
ATMIN	11508
ATN1	17862
ATOX1	15809
ATP10D	108211
ATP11A	196839
ATP11B	128125
ATP11C	206705
ATP12A	32085
ATP13A1	18475
ATP13A2	25970
ATP13A3	84324
ATP1A1	31530
ATP1A1-AS1	25757
ATP1A3	27648
ATP1B1	26029
ATP1B2	11144
ATP1B3	49905
ATP23	17581
ATP2A1	26023
ATP2A1-AS1	964
ATP2A2	69845
ATP2A3	40595
ATP2B1	121317
ATP2B4	117294
ATP2C1	166116
ATP5F1A	20089
ATP5F1B	7809
ATP5F1C	19695
ATP5F1D	3074
ATP5F1E	6860
ATP5IF1	2014
ATP5MC1	3083
ATP5MC2	11160
ATP5MC3	5452
ATP5MD	7424
ATP5ME	1840
ATP5MF	8009
ATP5MG	8458
ATP5MGL	798
ATP5MPL	9241
ATP5PB	13309
ATP5PD	8106
ATP5PF	11174
ATP5PO	12351
ATP6AP1	7839
ATP6AP1L	41282
ATP6AP2	25878
ATP6V0A1	63733
ATP6V0A2	49401
ATP6V0B	3335
ATP6V0C	6497
ATP6V0D1	43138
ATP6V0E1	51674
ATP6V0E2	7744
ATP6V0E2-AS1	6168
ATP6V1A	65021
ATP6V1B1	29531
ATP6V1B1-AS1	6598
ATP6V1B2	24315
ATP6V1C1	51968
ATP6V1C2	63480
ATP6V1D	21932
ATP6V1E1	36686
ATP6V1E2	30730
ATP6V1F	2991
ATP6V1FNB	5717
ATP6V1G1	11110
ATP6V1H	127768
ATP7A	139739
ATP7B	78823
ATP8A1	248730
ATP8A2	653877
ATP8B1	156889
ATP8B2	25779
ATP8B5P	76274
ATP9A	171874
ATP9B	308888
ATPAF1	33388
ATPAF2	21147
ATPSCKMT	24401
ATR	129498
ATRAID	5141
ATRN	180097
ATRNL1	855633
ATRX	281338
ATXN1	462378
ATXN10	173509
ATXN1-AS1	5745
ATXN1L	11352
ATXN2	147462
ATXN2L	14189
ATXN3	48069
ATXN7	138903
ATXN7L1	271811
ATXN7L2	8893
ATXN7L3	6356
ATXN7L3B	7595
AUH	148154
AUNIP	27545
AUP1	3054
AURKA	22948
AURKAIP1	1471
AURKAP1	1536
AURKB	5841
AURKC	4525
AUTS2	1195031
AVEN	172977
AVIL	18693
AVL9	93237
AVPI1	9817
AVPR1A	8442
AXIN1	65283
AXIN2	33083
AZI2	27776
AZIN1	37898
AZIN2	42339
B2M	7360
B3GALNT1	21489
B3GALNT2	57262
B3GALT6	2803
B3GAT1	33734
B3GAT3	6690
B3GLCT	132299
B3GNT10	8232
B3GNT2	28616
B3GNT4	5271
B3GNT5	20132
B3GNT7	5454
B3GNT9	2894
B4GALNT1	9792
B4GALNT3	103561
B4GALNT4	12618
B4GALT1	56717
B4GALT2	11969
B4GALT3	6658
B4GALT4	29136
B4GALT5	80932
B4GALT6	63709
B4GALT7	10198
B4GAT1	2255
B9D1	43217
B9D2	9732
BABAM1	11977
BABAM2	450191
BACE1	30570
BACE2	114370
BACH1	56692
BACH2	370380
BAD	14876
BAG1	12237
BAG2	17507
BAG3	26447
BAG4	36446
BAG5	6270
BAG6	13680
BAHCC1	66957
BAHD1	28479
BAIAP2	82283
BAIAP2-DT	5586
BAIAP2L1	109440
BAIAP2L2	25783
BAK1	7724
BAMBI	5411
BANF1	2067
BANP	125882
BAP1	8999
BARD1	84037
BARHL2	5763
BARX1	3728
BARX2	76431
BASP1	60022
BASP1P1	1151
BATF3	13423
BAX	6923
BAZ1A	122629
BAZ1B	81886
BAZ2A	40763
BAZ2B	297622
BBC3	11843
BBIP1	20636
BBOF1	46743
BBS1	22963
BBS10	3941
BBS12	12241
BBS2	35679
BBS4	52297
BBS5	27161
BBS7	46145
BBS9	506227
BBX	288377
BCAM	12362
BCAN	17411
BCAP31	23895
BCAR1	39826
BCAR3	285478
BCAS2	14055
BCAS3	714980
BCAS4	82283
BCAT1	139077
BCAT2	15965
BCCIP	30149
BCDIN3D	7063
BCDIN3D-AS1	12611
BCHE	64519
BCKDHA	27184
BCKDHB	239660
BCKDK	4405
BCL10	10856
BCL11A	103134
BCL11B	102909
BCL2	196034
BCL2L1	59505
BCL2L11	47531
BCL2L12	8774
BCL2L13	92271
BCL2L2	4997
BCL3	11336
BCL6	24087
BCL7A	40160
BCL7B	21334
BCL7C	60451
BCL9	84713
BCL9L	16667
BCLAF1	33219
BCLAF3	57402
BCOR	126083
BCORL1	52895
BCR	137528
BCRP2	19270
BCS1L	3760
BCYRN1	199
BDH1	63540
BDH2	22242
BDP1	112169
BECN1	14184
BEGAIN	32645
BEND3	50330
BEND3P3	5919
BEND4	41802
BEND6	72237
BEND7	87926
BEST1	15164
BET1	41591
BET1L	4498
BEX1	1520
BEX2	1644
BEX3	1841
BEX4	2136
BFAR	36287
BFSP1	75315
BHLHE22	3261
BHLHE40	5886
BHLHE41	5007
BICC1	318563
BICD1	276786
BICD2	53470
BICDL1	105258
BICRA	95081
BICRAL	121567
BID	40525
BIK	18962
BIN1	59122
BIN3	48690
BIRC2	31488
BIRC3	21919
BIRC5	11382
BIRC6	261870
BIVM	42414
BLCAP	10514
BLM	98820
BLMH	43741
BLOC1S1	3673
BLOC1S2	13434
BLOC1S3	3016
BLOC1S4	1488
BLOC1S6	22593
BLVRA	48669
BLVRB	17977
BLZF1	28663
BMF	20988
BMI1	10385
BMP1	46954
BMP2	12560
BMP2K	135809
BMP3	26924
BMP4	7155
BMP6	155629
BMP7	97888
BMP8A	38233
BMP8B	31683
BMPR1A	168549
BMPR1B	400488
BMPR2	191422
BMS1	52142
BMS1P1	25255
BMS1P14	15888
BMS1P2	17942
BMS1P20	24870
BMS1P2-AGAP9	51747
BMS1P4-AGAP5	56231
BMT2	120728
BNC1	28779
BNC2	461167
BNIP1	19856
BNIP2	30174
BNIP3	14330
BNIP3L	30073
BNIPL	11134
BOC	75901
BOD1	9505
BOD1L1	58985
BOD1L2	3323
BOK	15386
BOLA1	1227
BOLA2-SMG1P6	12059
BOLA3	12512
BOLA3-AS1	4408
BOP1	29393
BORA	28449
BORCS5	114159
BORCS6	1835
BORCS7	10702
BORCS8	15246
BPGM	33036
BPHL	34864
BPNT1	32371
BPTF	158875
BRAF	205592
BRAP	43810
BRAT1	17714
BRCA1	81069
BRCA2	84192
BRCC3	51654
BRD1	54590
BRD2	62916
BRD3	37702
BRD3OS	6106
BRD4	79547
BRD7	53031
BRD8	38860
BRD9	29060
BRF1	106291
BRF2	6593
BRI3	11277
BRI3BP	37585
BRICD5	1815
BRINP2	111464
BRIP1	184389
BRIX1	10285
BRK1	11515
BRMS1	7765
BRMS1L	45625
BROX	22643
BRPF1	16287
BRPF3	36046
BRSK1	28538
BRSK2	72755
BRWD1	129456
BRWD3	140374
BSCL2	19357
BSDC1	29808
BSG	12210
BSN	117072
BSPRY	21681
BST2	2691
BTAF1	107667
BTBD1	50823
BTBD10	75301
BTBD11	341208
BTBD19	5647
BTBD2	30266
BTBD3	35872
BTBD6	2560
BTBD7	95486
BTBD8	104378
BTBD9	471478
BTD	120770
BTF3	7198
BTF3L4	34531
BTG1	5568
BTG2	4082
BTG3	19248
BTG3-AS1	2418
BTN2A1	18667
BTN2A2	11764
BTN2A3P	9197
BTN3A1	12933
BTN3A2	13161
BTN3A3	12911
BTNL9	21254
BTRC	203288
BUB1	40535
BUB1B	60127
BUB3	16065
BUD13	24828
BUD23	14615
BUD31	10647
BVES	40333
BYSL	11547
BZW1	15426
BZW2	60389
C10orf88	23326
C10orf95	1706
C11orf1	6434
C11orf24	10635
C11orf45	6666
C11orf49	227623
C11orf54	23077
C11orf58	19693
C11orf68	2250
C11orf71	9066
C11orf80	98780
C11orf95	8883
C11orf96	1241
C11orf98	2399
C12orf10	7482
C12orf29	14624
C12orf4	50778
C12orf43	16001
C12orf45	31309
C12orf49	27898
C12orf57	2565
C12orf60	20745
C12orf65	24524
C12orf66	35984
C12orf73	7021
C12orf75	40827
C12orf76	32462
C14orf119	4951
C14orf132	54647
C14orf28	9982
C14orf39	50107
C14orf93	24249
C15orf39	10287
C15orf40	22676
C15orf41	230614
C15orf61	9014
C15orf62	2469
C15orf65	10301
C16orf46	23770
C16orf58	18916
C16orf70	38603
C16orf72	29991
C16orf74	43578
C16orf87	34577
C16orf90	3168
C16orf91	995
C16orf95	14622
C17orf100	1714
C17orf113	12369
C17orf58	2507
C17orf67	42007
C17orf75	13732
C17orf80	16523
C18orf21	6662
C18orf25	92970
C18orf32	9991
C18orf54	24128
C19orf12	16903
C19orf18	16097
C19orf25	6014
C19orf44	24958
C19orf47	28964
C19orf48	7160
C19orf53	4316
C19orf54	9616
C19orf57	23817
C19orf71	4873
C19orf73	741
C19orf81	9859
C1D	21874
C1GALT1	66071
C1GALT1C1	4476
C1GALT1C1L	1278
C1orf109	10672
C1orf112	59039
C1orf115	8790
C1orf122	1664
C1orf131	17410
C1orf159	34266
C1orf174	11139
C1orf198	32472
C1orf21	241990
C1orf216	5007
C1orf220	6093
C1orf226	7977
C1orf35	2594
C1orf43	13868
C1orf50	12241
C1orf52	9708
C1orf54	8640
C1orf56	3644
C1orf74	5351
C1QBP	6378
C1QL1	8610
C1QL4	4779
C1QTNF1	26854
C1QTNF12	4269
C1QTNF3	226866
C1QTNF6	19257
C1R	12226
C1RL	14660
C1RL-AS1	13543
C1S	10313
C2	47895
C20orf194	158360
C20orf204	5274
C20orf27	14889
C20orf96	19915
C21orf58	22769
C21orf91	30382
C22orf23	10619
C22orf39	7345
C22orf46	9199
C2CD2	68906
C2CD2L	11200
C2CD3	158305
C2CD4A	3940
C2CD4C	3702
C2CD5	96000
C2orf15	9852
C2orf27A	84905
C2orf42	41134
C2orf49	11671
C2orf68	6812
C2orf69	16980
C2orf72	12194
C2orf74	19761
C2orf76	64611
C2orf81	7442
C2orf88	65707
C3orf14	17169
C3orf33	43675
C3orf38	8006
C3orf52	31891
C3orf62	8636
C3orf67	308017
C3orf70	76222
C3orf80	2577
C4orf19	139585
C4orf3	8026
C4orf33	22924
C4orf36	16217
C4orf46	5381
C4orf48	1977
C5orf15	13115
C5orf22	22792
C5orf24	14055
C5orf34	28439
C5orf51	17292
C5orf66	311406
C6orf120	4245
C6orf132	41501
C6orf136	6072
C6orf141	11245
C6orf201	51742
C6orf223	7027
C6orf226	556
C6orf47	2481
C6orf52	23379
C6orf62	14293
C6orf89	57120
C7orf25	2817
C7orf26	18705
C7orf31	45659
C7orf50	141270
C8orf33	3563
C8orf34	488650
C8orf37	24288
C8orf44	13935
C8orf58	4548
C8orf76	21410
C8orf82	3378
C8orf88	26767
C9orf116	4688
C9orf16	3659
C9orf40	6329
C9orf64	18674
C9orf72	27320
C9orf78	7985
C9orf85	74418
CA11	8241
CA12	60468
CA13	38615
CA14	7304
CA2	17590
CA5BP1	28805
CA8	95988
CAAP1	52143
CAB39	108233
CAB39L	135414
CABIN1	167324
CABLES1	125906
CABLES2	18653
CABP1	26705
CABYR	22538
CACFD1	10866
CACHD1	222924
CACNA1B	246835
CACNA1C	650935
CACNA1G	66756
CACNA1H	68661
CACNA2D1	497512
CACNA2D2	141631
CACNA2D3	952005
CACNB1	24216
CACNB2	403133
CACNB3	14461
CACNB4	266396
CACNG8	27278
CACTIN	16170
CACUL1	78559
CACYBP	12592
CAD	26574
CADM1	335179
CADM4	17482
CADPS2	568335
CAHM	885
CALCB	5044
CALCOCO1	18934
CALCOCO2	34210
CALD1	191095
CALHM2	5584
CALHM5	13149
CALM1	11773
CALM2	16854
CALM3	9708
